학교,체험처,학교_위도,학교_경도,체험처_위도,체험처_경도
성주중학교가천분교장,진로체험/아로마테라피/바다풍경 젤디퓨져 만들기,35.88671985,128.1601936,36.0989995,128.432553
성주중학교가천분교장,진로체험 - 에너지 환경공학자,35.88671985,128.1601936,35.81635,128.73541
성주중학교가천분교장,미래식량자원인 곤충 체험,35.88671985,128.1601936,35.698467,128.5734164
성주중학교가천분교장,야생화 공부하기,35.88671985,128.1601936,36.02841,128.48
성주중학교가천분교장,"칠곡보 돌아보기(홍수 가뭄 방지, 신재생 에너지 생산)",35.88671985,128.1601936,36.036934,128.4118002
성주중학교가천분교장,"화석과 광물의 세계(지질학자, 고고학자 체험)",35.88671985,128.1601936,36.1582024,128.2603792
성주중학교가천분교장,"드림콘서트(1) 글로벌리더 육성을 위한 진로캠프 - Dream Concert(인성교육, 자존감 높이기)",35.88671985,128.1601936,35.820083,128.7311572
성주중학교가천분교장,문화예술교육가의 삶,35.88671985,128.1601936,35.9829227,128.3839164
성주중학교가천분교장,방송댄스 (여자)아이들,35.88671985,128.1601936,36.04915,128.4297
성주중학교가천분교장,영어로배우는체육교실,35.88671985,128.1601936,35.64315,128.74319
성주중학교가천분교장,찾아오는 금융교육,35.88671985,128.1601936,35.7260103,128.264818
수륜중학교,나만의 책 출판,35.83081062,128.1964419,36.1413769,128.3161768
수륜중학교,문화예술교육가의 삶,35.83081062,128.1964419,35.9829227,128.3839164
수륜중학교,박정희대통령 생가 둘러보기,35.83081062,128.1964419,36.12323105,128.3413768
수륜중학교,수상스키 타기,35.83081062,128.1964419,35.95653,128.48785
수륜중학교,예술로 마음을 도닥인다 : 도닥도닥 사회적 협동조합,35.83081062,128.1964419,35.825122,128.741329
수륜중학교,"면접,수행평가대비 스피치 클래스",35.83081062,128.1964419,36.04915,128.4297
수륜중학교,영어로배우는체육교실,35.83081062,128.1964419,35.64315,128.74319
수륜중학교,찾아오는 금융교육,35.83081062,128.1964419,35.7260103,128.264818
수륜중학교,청소년 자기주도학습법-자기스스로 전과목을 거뜬하게(공부스타일 점검하기),35.83081062,128.1964419,36.1020797,128.3820047
수륜중학교,컴퓨터 교실 - 파워포인트,35.83081062,128.1964419,35.81635,128.73541
수륜중학교,3D프린터전문가 - 중학생을 위한 3D프린트 체험,35.83081062,128.1964419,35.9927198,128.3872542
수륜중학교,캘리그라피,35.83081062,128.1964419,36.1378904,128.444395
수륜중학교,컴퓨터 교실 -  영상편집,35.83081062,128.1964419,35.81635,128.73541
수륜중학교,컴퓨터 교실 - 파워포인트,35.83081062,128.1964419,35.81635,128.73541
수륜중학교,한국화(수묵화) 그리기,35.83081062,128.1964419,36.0034329,128.5189477
수륜중학교,과학창작 VR캠프,35.83081062,128.1964419,35.82159,128.82356
수륜중학교,대기질 엔지니어 (중학생을 위한 친환경 공기청정기 제작)_토라사이언스,35.83081062,128.1964419,36.1084915,128.1878133
수륜중학교,드림콘서트(2) 진로학습법캠프[진로캠프 & 자기주도학습법캠프] - Dream Concert,35.83081062,128.1964419,35.820083,128.7311572
수륜중학교,로봇공학자(중학생을 위한 창의융합 미래로봇 체험),35.83081062,128.1964419,35.9927198,128.3872542
수륜중학교,창의트레이너 - 중학생을 위한 골드버드 창의미션,35.83081062,128.1964419,36.1084915,128.1878133
