학교명,체험처,점수,학교_위도,학교_경도,체험처_위도,체험처_경도
동명중학교,글로벌인재개발연구원,(0.926461385425821+0j),35.98517727,128.549309,35.820083,128.7311572
동명중학교,명인정보고등학교,(0.9235513721145263+0j),35.98517727,128.549309,35.89751,128.34962
북삼중학교,한국교육전문가협회,(0.9504573182828749+0j),36.06994201,128.342881,36.1413769,128.3161768
북삼중학교,미래핵심인재교육원,(0.9168543610849023+0j),36.06994201,128.342881,36.1020797,128.3820047
북삼중학교,안다미로 귀때 박물관,(0.9074790069922765+0j),36.06994201,128.342881,35.9829227,128.3839164
북삼중학교,미래핵심인재교육원,(0.9281336700968452+0j),36.06994201,128.342881,36.1020797,128.3820047
북삼중학교,칠곡소방서,(0.9342145191882723+0j),36.06994201,128.342881,35.9927198,128.3872542
북삼중학교,미래핵심인재교육원,(0.9179908083741954+0j),36.06994201,128.342881,36.1020797,128.3820047
북삼중학교,미래핵심인재교육원,(0.9092026161267954+0j),36.06994201,128.342881,36.1020797,128.3820047
석적중학교,박정희대통령 생가,(0.8929661035263735+0j),36.06409306,128.4056548,36.12323105,128.3413768
석적중학교,한국교육전문가협회,(0.9535504123349982+0j),36.06409306,128.4056548,36.1413769,128.3161768
석적중학교,미래핵심인재교육원,(0.9072010398887572+0j),36.06409306,128.4056548,36.1020797,128.3820047
석적중학교,안다미로 귀때 박물관,(0.9243118867754028+0j),36.06409306,128.4056548,35.9829227,128.3839164
석적중학교,수자원공사 - 칠곡보,(0.9271342196409058+0j),36.06409306,128.4056548,36.036934,128.4118002
석적중학교,칠곡소방서,(0.9211584160835978+0j),36.06409306,128.4056548,35.9927198,128.3872542
석적중학교,미래핵심인재교육원,(0.9075795080045189+0j),36.06409306,128.4056548,36.1020797,128.3820047
석적중학교,칠곡소방서,(0.8987010143758614+0j),36.06409306,128.4056548,35.9927198,128.3872542
석적중학교,풀잎문화센터,(0.944984323663635+0j),36.06409306,128.4056548,36.0989995,128.432553
석적중학교,칠곡군청소년문화의집,(0.9652550380172467+0j),36.06409306,128.4056548,36.04915,128.4297
석적중학교,칠곡군청소년문화의집,(0.9199120729026184+0j),36.06409306,128.4056548,36.04915,128.4297
석전중학교,안다미로 귀때 박물관,(0.9128468827329743+0j),36.00305954,128.4093092,35.9829227,128.3839164
석전중학교,박정희대통령 생가,(0.9162820234010303+0j),36.00305954,128.4093092,36.12323105,128.3413768
석전중학교,칠곡군청소년문화의집,(0.9044006439670024+0j),36.00305954,128.4093092,36.04915,128.4297
석전중학교,칠곡군청소년문화의집,(0.9368313385206947+0j),36.00305954,128.4093092,36.04915,128.4297
석전중학교,칠곡군청소년문화의집,(0.8992656058214662+0j),36.00305954,128.4093092,36.04915,128.4297
순심여자중학교,박정희대통령 생가,(0.9615346228670207+0j),35.98647718,128.3958253,36.12323105,128.3413768
순심여자중학교,칠곡소방서,(0.9761368940471283+0j),35.98647718,128.3958253,35.9927198,128.3872542
순심여자중학교,안다미로 귀때 박물관,(0.9184311171781677+0j),35.98647718,128.3958253,35.9829227,128.3839164
순심여자중학교,안다미로 귀때 박물관,(0.8776191488580296+0j),35.98647718,128.3958253,35.9829227,128.3839164
순심중학교,안다미로 귀때 박물관,(0.9702619104966911+0j),35.9864732,128.403217,35.9829227,128.3839164
순심중학교,칠곡군청소년문화의집,(0.9187320263473112+0j),35.9864732,128.403217,36.04915,128.4297
순심중학교,칠곡군청소년문화의집,(0.9018350562639131+0j),35.9864732,128.403217,36.04915,128.4297
순심중학교,수자원공사 - 칠곡보,(0.9884958327082701+0j),35.9864732,128.403217,36.036934,128.4118002
순심중학교,칠곡소방서,(0.9766255877544883+0j),35.9864732,128.403217,35.9927198,128.3872542
약목중학교,한국교육전문가협회,(0.9423223745165855+0j),36.03537499,128.3604432,36.1413769,128.3161768
약목중학교,칠곡군청소년문화의집,(0.8886299639754678+0j),36.03537499,128.3604432,36.04915,128.4297
약목중학교,풀잎문화센터,(0.9068137196844915+0j),36.03537499,128.3604432,36.0989995,128.432553
약목중학교,칠곡소방서,(0.9421640651469316+0j),36.03537499,128.3604432,35.9927198,128.3872542
약목중학교,칠곡군청소년문화의집,(0.9091183114913752+0j),36.03537499,128.3604432,36.04915,128.4297
인평중학교,한국교육전문가협회,(0.9268726184617391+0j),36.06259352,128.3356923,36.1413769,128.3161768
인평중학교,(주)제일산업,(0.8890672919504441+0j),36.06259352,128.3356923,35.95653,128.48785
인평중학교,미래핵심인재교육원,(0.8717890314972038+0j),36.06259352,128.3356923,36.1020797,128.3820047
인평중학교,칠곡소방서,(0.9072971343886926+0j),36.06259352,128.3356923,35.9927198,128.3872542
인평중학교,한국교육전문가협회,(0.8906409911585683+0j),36.06259352,128.3356923,36.1413769,128.3161768
