강좌명,프로그램명,점수,학교_위도,학교_경도,체험처_위도,체험처_경도
생활과학반,에너지 전문가 비전 세우기,1.514197714039175,36.0858103,129.3869383,35.7888894,129.3865654
생활과학반,대기질 엔지니어 (중학생을 위한 친환경 공기청정기 제작),1.322625006355364,36.0858103,129.3869383,35.9927198,128.3872542
생활과학반,"칠곡보 돌아보기(홍수 가뭄 방지, 신재생 에너지 생산)",0.8732081213028615,36.0858103,129.3869383,36.036934,128.4118002
생활과학반,미래소방관 체험교실 1,1.821494867082547,36.0858103,129.3869383,36.1216969,128.1299351
생활과학반,미래소방관 체험교실,1.5107652545933965,36.0858103,129.3869383,36.601023,128.2027179
생활과학반,미래소방관 체험교실_칠곡소방서,1.149909598830672,36.0858103,129.3869383,35.9927198,128.3872542
생활과학반,쪽득한 양갱만들기(가공기능사 체험),1.496235048453984,36.0858103,129.3869383,36.1382617,129.0073776
생활과학반,과학창작 VR캠프,0.3674475662702639,36.0858103,129.3869383,35.82159,128.82356
창의력 수학,창의트레이너 - 중학생을 위한 골드버드 창의미션,0.5432625729140026,36.0858103,129.3869383,36.1084915,128.1878133
창의력 수학,드림박스 만들기 (중학생을 위한 창의융합 메이커체험),0.5087208094963351,36.0858103,129.3869383,35.9927198,128.3872542
창의력 수학,공간디자인전문가 - 중학생을 위한 골드버드 창의미션,1.5588765654884573,36.0858103,129.3869383,35.9927198,128.3872542
창의력 수학,SW코딩 전문가(중학생을 위한 미래신기술체험_빅보드 체험),1.0658975396603485,36.0858103,129.3869383,35.9927198,128.3872542
창의력 수학,"오디로 놀자! (오디따기, 오디빙수만들기)(농장 체험)",1.3243970272825174,36.0858103,129.3869383,35.92362,128.89645
창의력 수학,메이커활동가 (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),1.5813094787707076,36.0858103,129.3869383,36.1084915,128.1878133
창의력 수학,진로체험 - 제품 디지이너,1.0468429520441471,36.0858103,129.3869383,35.81635,128.73541
창의력 수학,메이커전문가 (중학생을 위한 창의융합 메이커체험_DIY 오르골만들기),1.0464472589332017,36.0858103,129.3869383,35.9927198,128.3872542
창의력 수학,"타로방범대(학생 상담, 응원)",0.7577801385521195,36.0858103,129.3869383,36.591216,128.1870866
