학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000010699,유강중학교,중학교,2003-03-01,공립,본교,운영,경상북도 포항시 남구 연일읍 유강리 143-5,경상북도 포항시 남구 연일읍 유강길 52 . 유강중학교 (연일읍),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.00900446,129.3181196,2023-03-22
B000010824,상주중학교,중학교,1936-06-18,공립,본교,운영,경상북도 상주시 만산동 673-1,경상북도 상주시 북천로 55-13 (만산동. 상주중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.42902055,128.1558594,2023-03-22
B000010784,옥계동부중학교,중학교,2010-03-01,공립,본교,운영,경상북도 구미시 옥계동 911,경상북도 구미시 옥계북로 87 (옥계동),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.13905171,128.4261707,2023-03-22
B000010879,봉양중학교,중학교,1954-09-01,공립,본교,운영,경상북도 의성군 봉양면 화전리 75-1,경상북도 의성군 봉양면 봉호로 14 봉양중학교,8750000,경상북도교육청,8871000,경상북도의성교육지원청,2013-11-29,2022-10-06,36.3031493,128.5849448,2023-03-22
B000010712,청하중학교,중학교,1951-09-01,사립,본교,운영,경상북도 포항시 북구 청하면 덕성리 384-1,경상북도 포항시 북구 청하면 청하로151번길 26 (청하면. 청하중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.19465393,129.335806,2023-03-22
B000010777,광평중학교,중학교,2008-03-01,공립,본교,운영,경상북도 구미시 광평동 160,경상북도 구미시 화신로10길 11-12 (광평동),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.11651264,128.3568194,2023-03-22
B000010908,청도중학교,중학교,1953-03-04,사립,본교,운영,경상북도 청도군 청도읍 고수리 840-2,경상북도 청도군 청도읍 청화로 219-21 . 청도중고등학교 (청도읍),8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2022-10-06,35.64073632,128.7479311,2023-03-22
B000010730,무산중학교,중학교,1951-09-22,사립,본교,운영,경상북도 경주시 건천읍 천포리 636,경상북도 경주시 건천읍 천포방내길 18 . 무산중학교 (건천읍),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.84478145,129.0961167,2023-03-22
B000010944,지보중학교,중학교,1954-06-12,공립,본교,운영,경상북도 예천군 지보면 마전리 142-1,경상북도 예천군 지보면 지보로 167-7 . 지보중학교 (지보면. 지보중.고등학교),8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2022-10-06,36.54505552,128.3881786,2023-03-22
B000010848,동로중학교,중학교,1971-03-01,공립,본교,운영,경상북도 문경시 동로면 적성리 617-1,경상북도 문경시 동로면 적성큰마길 11 (동로면),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.77602945,128.3136429,2023-03-22
B000010893,구천중학교,중학교,1973-04-19,공립,본교,운영,경상북도 청송군 부남면 하속리 90,경상북도 청송군 부남면 부남로 523 (부남면.구천중학교),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.31362921,129.0988847,2023-03-22
B000010718,서라벌여자중학교,중학교,1981-03-01,공립,본교,운영,경상북도 경주시 황성동 1053-18,경상북도 경주시 알천북로145번길 23 (황성동. 서라벌여자중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.8549853,129.2176397,2023-03-22
B000010885,청송중학교,중학교,1948-07-21,공립,본교,운영,경상북도 청송군 청송읍 금곡리 815-3,경상북도 청송군 청송읍 금곡1길 13 . 청송중학교 (청송읍),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.43000334,129.0576987,2023-03-22
B000010692,장흥중학교,중학교,2011-03-01,공립,본교,운영,경상북도 포항시 북구 장성동 1372-1,경상북도 포항시 북구 법원로 120 (장성동. 장흥중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.0858103,129.3869383,2023-03-22
B000010907,지품중학교,중학교,1971-03-31,공립,본교,운영,경상북도 영덕군 지품면 신안리 92-4,경상북도 영덕군 지품면 신안1길 33 지품중학교,8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2022-10-06,36.450434,129.283436,2023-03-22
B000010772,구미중학교,중학교,1945-05-06,공립,본교,운영,경상북도 구미시 도량동 799-1,경상북도 구미시 문장로 159 (도량동),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.14668047,128.3292902,2023-03-22
B000010762,풍천중학교,중학교,1946-09-01,공립,본교,운영,경상북도 안동시 풍천면 갈전리 1460,경상북도 안동시 풍천면 풍요5길 14 . 풍천중학교 (풍천면),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.57481296,128.5003836,2023-03-22
B000010800,영광중학교,중학교,1951-09-27,사립,본교,운영,경상북도 영주시 영주동 88-1,경상북도 영주시 광복로 17 (영주동),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.82869809,128.6201762,2023-03-22
B000010693,동지중학교,중학교,1946-03-05,사립,본교,운영,경상북도 포항시 북구 용흥동 산125-3,경상북도 포항시 북구 용흥로 123 (용흥동. 동지중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.03860468,129.3467246,2023-03-22
B000010787,형곡중학교,중학교,1991-03-05,공립,본교,운영,경상북도 구미시 형곡동 289-2,경상북도 구미시 형곡서로1길 29 (형곡동.형곡중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.10630547,128.330934,2023-03-22
B000010775,도송중학교,중학교,2000-03-01,공립,본교,운영,경상북도 구미시 도량동 산50-14,경상북도 구미시 송동로7길 53 (도량동),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.147709,128.3204363,2023-03-22
B000010710,포항동해중학교,중학교,1948-09-01,사립,본교,운영,경상북도 포항시 남구 동해면 도구리 621,경상북도 포항시 남구 동해면 일월로41번길 26 . (동해면. 포항동해중학교) (동해면),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.98983978,129.4398422,2023-03-22
B000010849,마성중학교,중학교,1971-03-12,공립,본교,운영,경상북도 문경시 마성면 외어리 400,경상북도 문경시 마성면 외어1길 125 (마성면. 마성중학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.69529959,128.133819,2023-03-22
B000010789,경구중학교,중학교,2000-03-03,사립,본교,운영,경상북도 구미시 봉곡동 279,경상북도 구미시 봉곡로9길 25 (봉곡동),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.14854107,128.307609,2023-03-22
B000010945,풍양중학교,중학교,1953-05-26,공립,본교,운영,경상북도 예천군 풍양면 낙상리 253,경상북도 예천군 풍양면 낙상1길 94 (풍양면. 풍양중학교),8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2022-10-06,36.50878288,128.2974077,2023-03-22
B000010783,옥계중학교,중학교,2001-03-01,공립,본교,운영,경상북도 구미시 거의동 610-1,경상북도 구미시 거양길 18-7 (거의동. 옥계중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.13852781,128.410856,2023-03-22
B000010866,효령중학교,중학교,1971-01-25,공립,본교,운영,경상북도 군위군 효령면 중구리 355,경상북도 군위군 효령면 중리길 6-25 (효령면. 효령중고등학교),8750000,경상북도교육청,8861000,경상북도군위교육지원청,2013-11-29,2022-10-06,36.15464034,128.5778532,2023-03-22
B000010880,경북중부중학교,중학교,2016-03-01,공립,본교,운영,경상북도 의성군 비안면 이두리 341,경상북도 의성군 비안면 이두2길 5 (비안면),8750000,경상북도교육청,8871000,경상북도의성교육지원청,2013-11-29,2022-10-06,36.33826988,128.4912044,2023-03-22
B000010745,어모중학교,중학교,1969-03-04,공립,본교,운영,경상북도 김천시 어모면 동좌리 519,경상북도 김천시 어모면 어모로 560 (어모면.어모중학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.20138852,128.1090762,2023-03-22
B000010836,중모중학교,중학교,1954-06-09,공립,본교,운영,경상북도 상주시 모동면 덕곡리 1087,경상북도 상주시 모동면 덕곡1길 13 (모동면.중모중학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.3254066,127.9608589,2023-03-22
B000010934,순심중학교,중학교,1946-05-23,사립,본교,운영,경상북도 칠곡군 왜관읍 왜관리 340,경상북도 칠곡군 왜관읍 평장2길 6 (왜관읍),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,35.9864732,128.403217,2023-03-22
B000010804,풍기중학교,중학교,1950-03-15,공립,본교,운영,경상북도 영주시 풍기읍 동부리 369,경상북도 영주시 풍기읍 동성로 34 (풍기읍. 풍기중학교),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.87028488,128.5315522,2023-03-22
B000010946,감천중학교,중학교,1954-06-13,공립,본교,운영,경상북도 예천군 감천면 포리 311-2,경상북도 예천군 감천면 충효로 1429 (감천면. 감천중학교),8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2022-10-06,36.72434848,128.5261545,2023-03-22
B000010811,영동중학교,중학교,1970-10-06,사립,본교,운영,경상북도 영천시 야사동 393,경상북도 영천시 안야사길 13 (야사동),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.97778874,128.9465541,2023-03-22
B000010792,현일중학교,중학교,1953-04-06,사립,본교,운영,경상북도 구미시 고아읍 항곡리 468-1,경상북도 구미시 고아읍 선산대로 656 . 현일중고등학교 (고아읍),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.18720149,128.349288,2023-03-22
B000010719,불국중학교,중학교,1980-10-17,공립,본교,운영,경상북도 경주시 시래동 206,경상북도 경주시 구매2길 35-12 (시래동. 불국중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.77393121,129.309127,2023-03-22
B000010743,성의여자중학교,중학교,1970-03-01,사립,본교,운영,경상북도 김천시 평화동 406-6,경상북도 김천시 평화순환길 250-11 . 성의여자중학교 (평화동),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.11961289,128.1133186,2023-03-22
B000010746,개령중학교,중학교,1952-03-02,공립,본교,운영,경상북도 김천시 개령면 동부리 442-8,경상북도 김천시 개령면 서부3길 89 (개령면. 개령중학교),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.1677997,128.1853626,2023-03-22
B000010709,신광중학교,중학교,1955-05-20,공립,본교,운영,경상북도 포항시 북구 신광면 토성리 344,경상북도 포항시 북구 신광면 토성길51번길 19-2 (신광면.신광중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.13077706,129.2639672,2023-03-22
B000010917,쌍림중학교,중학교,1972-03-28,공립,본교,운영,경상북도 고령군 쌍림면 귀원리 25,경상북도 고령군 쌍림면 대가야로 659 . 쌍림중학교 (쌍림면. 쌍림중학교),8750000,경상북도교육청,8921000,경상북도고령교육지원청,2013-11-29,2022-10-06,35.68462812,128.2431018,2023-03-22
B000010867,부계중학교,중학교,1948-09-01,공립,본교,운영,경상북도 군위군 부계면 춘산리 496,경상북도 군위군 부계면 춘산1길 16 (부계면. 부계중학교),8750000,경상북도교육청,8861000,경상북도군위교육지원청,2013-11-29,2022-10-06,36.07957908,128.6548326,2023-03-22
B000010736,김천중앙중학교,중학교,1953-05-01,공립,본교,운영,경상북도 김천시 삼락동 548,경상북도 김천시 대학로 164-37 (삼락동),8750000,경상북도교육청,8781000,경상북도김천교육지원청,2013-11-29,2022-10-06,36.14144223,128.0842226,2023-03-22
B000010882,다인중학교,중학교,1952-02-12,공립,본교,운영,경상북도 의성군 다인면 도암리 283,경상북도 의성군 다인면 서릉2길 27 . 다인중학교 (다인면),8750000,경상북도교육청,8871000,경상북도의성교육지원청,2013-11-29,2022-10-06,36.45317309,128.3551267,2023-03-22
B000010966,부구중학교,중학교,1969-11-17,공립,본교,운영,경상북도 울진군 북면 부구리 863-7,경상북도 울진군 북면 상흥부1길 6-15 . 부구중학교 (북면),8750000,경상북도교육청,8971000,경상북도울진교육지원청,2013-11-29,2022-10-06,37.09896401,129.3569442,2023-03-22
B000010795,해평중학교,중학교,1953-04-17,공립,본교,운영,경상북도 구미시 해평면 월호리 488,경상북도 구미시 해평면 강동로 1654 (해평면. 경북생활과학고등학교(해평중학교)),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.19960113,128.3922014,2023-03-22
B000010820,영안중학교,중학교,1971-03-24,공립,본교,운영,경상북도 영천시 북안면 임포리 311,경상북도 영천시 북안면 운북로 2025 (북안면),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.91800235,129.0076986,2023-03-22
B000010861,진량중학교,중학교,1952-09-17,사립,본교,운영,경상북도 경산시 진량읍 신상리 1114-6,경상북도 경산시 진량읍 대학로 1051 . 진량중학교 (진량읍.진량중고등학교),8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2022-10-06,35.87727334,128.8110155,2023-03-22
B000010722,문화중학교,중학교,1945-10-15,사립,본교,운영,경상북도 경주시 충효동 717,경상북도 경주시 충현로 98 (충효동),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.85337311,129.1690639,2023-03-22
B000010900,영덕중학교,중학교,1936-06-08,공립,본교,운영,경상북도 영덕군 영덕읍 화개리 72,경상북도 영덕군 영덕읍 군청1길 13 . 영덕중학교 (영덕읍),8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2022-10-06,36.41488843,129.3679427,2023-03-22
B000010821,청통중학교,중학교,1972-03-29,공립,본교,운영,경상북도 영천시 청통면 원촌리 220,경상북도 영천시 청통면 새학길 33-11 (청통면),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.99118178,128.8246667,2023-03-22
B000010786,선주중학교,중학교,2004-03-01,공립,본교,운영,경상북도 구미시 봉곡동 6,경상북도 구미시 야은로13길 27 (봉곡동. 선주중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.14257948,128.3132347,2023-03-22
B000010833,화령중학교,중학교,1952-09-09,공립,본교,운영,경상북도 상주시 화서면 달천리 503-1,경상북도 상주시 화서면 중화로 2187 (화서면. 화령중고등학교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.44245211,127.9458196,2023-03-22
B000010773,송정여자중학교,중학교,1988-03-01,공립,본교,운영,경상북도 구미시 송정동 485-1,경상북도 구미시 송정대로6길 72-12 (송정동. 송정여자중학교),8750000,경상북도교육청,8801000,경상북도구미교육지원청,2013-11-29,2022-10-06,36.11382632,128.3477053,2023-03-22
B000010727,외동중학교,중학교,1947-09-20,공립,본교,운영,경상북도 경주시 외동읍 입실리 443-1,경상북도 경주시 외동읍 입실로1길 80-9 (외동읍),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.71736873,129.3253571,2023-03-22
B000010683,포항여자중학교,중학교,1939-04-10,공립,본교,운영,경상북도 포항시 북구 우현동 56,경상북도 포항시 북구 장미길 49 (우현동.포항여자중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.05313299,129.3622002,2023-03-22
B000010716,신라중학교,중학교,1954-06-21,공립,본교,운영,경상북도 경주시 황성동 1053-18,경상북도 경주시 알천북로 143 (황성동. 신라중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.85465841,129.2164259,2023-03-22
B000010905,남정중학교,중학교,1966-03-15,공립,본교,운영,경상북도 영덕군 남정면 장사리 410-1,경상북도 영덕군 남정면 진불길 11-27 . 남정중학교 (남정면),8750000,경상북도교육청,8901000,경상북도영덕교육지원청,2013-11-29,2022-10-06,36.28382203,129.3702125,2023-03-22
B000010754,안동중학교,중학교,1946-09-14,공립,본교,운영,경상북도 안동시 태화동 255,경상북도 안동시 태화1길 14 (태화동. 안동중학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.56465434,128.7119477,2023-03-22
B000010920,고령중학교개진분교장,중학교,1982-01-09,공립,분교,운영,경상북도 고령군 개진면 오사리 42,경상북도 고령군 개진면 오사길 83 . 고령중학교 개진분교장 (개진면),8750000,경상북도교육청,8921000,경상북도고령교육지원청,2013-11-29,2022-10-06,35.71676088,128.3697462,2023-03-22
B000010846,산북중학교,중학교,1954-05-17,공립,본교,운영,경상북도 문경시 산북면 대상리 97-3,경상북도 문경시 산북면 금천로 560 (산북면.산북중학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.65452817,128.2594665,2023-03-22
B000010835,모서중학교,중학교,1973-03-17,공립,본교,운영,경상북도 상주시 모서면 삼포리 222-3,경상북도 상주시 모서면 삼포2길 30 (모서면. 모서중교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.34441508,127.9610567,2023-03-22
B000010889,현서중학교,중학교,1972-03-09,공립,본교,운영,경상북도 청송군 현서면 덕계리 533,경상북도 청송군 현서면 구덕길 74 (현서면. 현서중고등학교),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.28145041,128.8986233,2023-03-22
B000010921,성주중학교,중학교,1946-10-26,공립,본교,운영,경상북도 성주군 성주읍 예산리 640,경상북도 성주군 성주읍 주천로 15-18 (성주읍.성주중학교),8750000,경상북도교육청,8931000,경상북도성주교육지원청,2013-11-29,2022-10-06,35.92783552,128.2834315,2023-03-22
B000010714,서포중학교,중학교,1954-09-01,사립,본교,운영,경상북도 포항시 북구 죽장면 입암리 651,경상북도 포항시 북구 죽장면 일광길 2 (죽장면),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.16391663,129.0932289,2023-03-22
B000010919,우곡중학교,중학교,1971-03-25,공립,본교,운영,경상북도 고령군 우곡면 월오리 414,경상북도 고령군 우곡면 우곡로 492-19 (우곡면. 우곡중학교),8750000,경상북도교육청,8921000,경상북도고령교육지원청,2013-11-29,2022-10-06,35.64486899,128.3560352,2023-03-22
B000010818,화산중학교,중학교,1970-03-01,공립,본교,운영,경상북도 영천시 화산면 유성리 1360-1,경상북도 영천시 화산면 연유길 14 (화산면),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,36.01997426,128.8488845,2023-03-22
B000010887,진보중학교,중학교,2005-03-01,공립,본교,운영,경상북도 청송군 진보면 진안리 562-2,경상북도 청송군 진보면 진성로 25 . 진보중학교 (진보면.진보중고등학교),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.53283897,129.0414663,2023-03-22
B000010943,용문중학교,중학교,1971-03-08,공립,본교,운영,경상북도 예천군 용문면 상금곡리 638-1,경상북도 예천군 용문면 상금시장길 45-2 (용문면),8750000,경상북도교육청,8951000,경상북도예천교육지원청,2013-11-29,2022-10-06,36.69328639,128.4051686,2023-03-22
B000010911,매전중학교,중학교,1971-03-10,공립,본교,운영,경상북도 청도군 매전면 동산리 445-4,경상북도 청도군 매전면 동산길 13 (매전면. 매전중학교),8750000,경상북도교육청,8911000,경상북도청도교육지원청,2013-11-29,2022-10-06,35.66806716,128.8527037,2023-03-22
B000010803,동산여자중학교,중학교,1970-03-01,사립,본교,운영,경상북도 영주시 하망동 595,경상북도 영주시 영봉로 49 (하망동.동산여자중학교),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.81859532,128.6455246,2023-03-22
B000010892,현동중학교,중학교,1974-12-27,사립,본교,운영,경상북도 청송군 현동면 도평리 733-7,경상북도 청송군 현동면 청송로 2686 (현동면. 현동중학교),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.2893639,129.0212193,2023-03-22
B000010732,아화중학교,중학교,1971-03-01,공립,본교,운영,경상북도 경주시 서면 아화리 123,경상북도 경주시 서면 아화양지길 41 (서면),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.90011301,129.0472989,2023-03-22
B000010843,문경여자중학교,중학교,1971-03-01,공립,본교,운영,경상북도 문경시 모전동 513,경상북도 문경시 돈달로 15 (모전동. 문경여자중학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.5956739,128.1898857,2023-03-22
B000010807,부석중학교,중학교,1954-06-17,공립,본교,운영,경상북도 영주시 부석면 소천리 501-1,경상북도 영주시 부석면 부석로 29 (부석면),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.97753241,128.6528943,2023-03-22
B000010720,계림중학교,중학교,1986-03-01,공립,본교,운영,경상북도 경주시 황성동 469-8,경상북도 경주시 용담로 68 (황성동. 계림중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.86411253,129.214146,2023-03-22
B000010706,대송중학교,중학교,1995-09-01,공립,본교,운영,경상북도 포항시 남구 대송면 남성리 83-5,경상북도 포항시 남구 대송면 남성길 100 . 대송중학교 (대송면),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.97786663,129.3595369,2023-03-22
B000010918,다산중학교,중학교,1957-04-07,사립,본교,운영,경상북도 고령군 다산면 월성리 210,경상북도 고령군 다산면 다산로 443 (다산면) 다산중학교,8750000,경상북도교육청,8921000,경상북도고령교육지원청,2013-11-29,2022-10-06,35.81511901,128.4287221,2023-03-22
B000010729,안강여자중학교,중학교,1964-03-02,사립,본교,운영,경상북도 경주시 안강읍 산대리 1855-3,경상북도 경주시 안강읍 화전길 62-8 . 안강여자중학교 (안강읍),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.99333192,129.2108268,2023-03-22
B000010711,장기중학교,중학교,1949-09-15,사립,본교,운영,경상북도 포항시 남구 장기면 임중리 331-2,경상북도 포항시 남구 장기면 읍내길 53 (장기면.장기중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,35.89221542,129.4927966,2023-03-22
B000010731,양남중학교,중학교,1947-11-01,공립,본교,운영,경상북도 경주시 양남면 하서리 651,경상북도 경주시 양남면 양남로 325-3 (양남면. 양남중학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.67412465,129.4607583,2023-03-22
B000010806,소수중학교,중학교,1953-09-01,공립,본교,운영,경상북도 영주시 순흥면 읍내리 370-1,경상북도 영주시 순흥면 순흥로 24 (순흥면. 소수중학교),8750000,경상북도교육청,8811000,경상북도영주교육지원청,2013-11-29,2022-10-06,36.91253449,128.5775449,2023-03-22
B000010890,진성중학교,중학교,1963-04-15,사립,본교,운영,경상북도 청송군 진보면 이촌리 596,경상북도 청송군 진보면 못안길 33 (진보면.진성중학교),8750000,경상북도교육청,8881000,경상북도청송교육지원청,2013-11-29,2022-10-06,36.53311296,129.0340548,2023-03-22
B000010925,용암중학교,중학교,1954-06-07,공립,본교,운영,경상북도 성주군 용암면 본리리 724,경상북도 성주군 용암면 상성로 222 (용암면.용암중학교),8750000,경상북도교육청,8931000,경상북도성주교육지원청,2013-11-29,2022-10-06,35.84136913,128.314491,2023-03-22
B000010850,가은중학교,중학교,1953-09-01,공립,본교,운영,경상북도 문경시 가은읍 왕능리 218,경상북도 문경시 가은읍 가은로 205 . 가은중학교 (가은읍.가은고등학교),8750000,경상북도교육청,8841000,경상북도문경교육지원청,2013-11-29,2022-10-06,36.64547535,128.0711654,2023-03-22
B000010837,은척중학교,중학교,1971-03-11,공립,본교,운영,경상북도 상주시 은척면 우기리 500,경상북도 상주시 은척면 우기1길 10 (은척면),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.53817356,128.0626337,2023-03-22
B000010734,양북중학교,중학교,1952-08-10,공립,본교,운영,경상북도 경주시 양북면 어일리 701,경상북도 경주시 문무대왕면 어일남길 2 (문무대왕면. 양북중학교양북초등학교),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2022-10-06,35.785592,129.4442385,2023-03-22
B000010813,금호여자중학교,중학교,1971-12-29,공립,본교,운영,경상북도 영천시 금호읍 대미리 930-23,경상북도 영천시 금호읍 성천앞길 112-53 (금호읍),8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,35.93945644,128.8786471,2023-03-22
B000010834,화동중학교,중학교,1970-03-07,공립,본교,운영,경상북도 상주시 화동면 이소리 323,경상북도 상주시 화동면 이소3길 86-6 (화동면.화동중교),8750000,경상북도교육청,8831000,경상북도상주교육지원청,2013-11-29,2022-10-06,36.3884768,127.9587288,2023-03-22
B000010823,산동중학교,중학교,1947-11-10,사립,본교,운영,경상북도 영천시 화남면 삼창리 86,경상북도 영천시 화남면 천문로 1709 산동중학교,8750000,경상북도교육청,8821000,경상북도영천교육지원청,2013-11-29,2022-10-06,36.06836167,128.897874,2023-03-22
B000010684,포항이동중학교,중학교,2003-03-01,공립,본교,운영,경상북도 포항시 남구 이동 664,경상북도 포항시 남구 대이로 170 (이동.포항이동중학교),8750000,경상북도교육청,8761000,경상북도포항교육지원청,2013-11-29,2022-10-06,36.03035784,129.340069,2023-03-22
